f	n
2.50E+13	1.22998
2.61E+13	1.24997
2.73E+13	1.26798
2.85E+13	1.28363
2.98E+13	1.29753
3.11E+13	1.30993
3.25E+13	1.32103
3.40E+13	1.331
3.55E+13	1.33992
3.71E+13	1.34798
3.87E+13	1.35524
4.05E+13	1.36179
4.23E+13	1.3677
4.42E+13	1.37306
4.62E+13	1.37792
4.82E+13	1.38234
5.04E+13	1.38635
5.27E+13	1.38999
5.50E+13	1.3933
5.75E+13	1.39631
6.01E+13	1.39906
6.27E+13	1.40156
6.56E+13	1.40385
6.85E+13	1.40593
7.16E+13	1.40783
7.48E+13	1.40957
7.81E+13	1.41116
8.16E+13	1.41261
8.53E+13	1.41394
8.91E+13	1.41516
9.31E+13	1.41627
9.72E+13	1.41729
1.02E+14	1.41823
1.06E+14	1.4191
1.11E+14	1.41989
1.16E+14	1.42062
1.21E+14	1.42129
1.26E+14	1.4219
1.32E+14	1.42248
1.38E+14	1.42301
1.44E+14	1.4235
1.51E+14	1.42396
1.57E+14	1.42439
1.65E+14	1.42479
1.72E+14	1.42516
1.80E+14	1.42552
1.88E+14	1.42585
1.96E+14	1.42617
2.05E+14	1.42648
2.14E+14	1.42677
2.24E+14	1.42706
2.34E+14	1.42734
2.44E+14	1.42762
2.55E+14	1.4279
2.66E+14	1.42817
2.78E+14	1.42844
2.91E+14	1.42873
3.04E+14	1.42902
3.17E+14	1.42932
3.32E+14	1.42962
3.47E+14	1.42995
3.62E+14	1.43029
3.78E+14	1.43065
3.95E+14	1.43103
4.13E+14	1.43143
4.31E+14	1.43187
4.51E+14	1.43234
4.71E+14	1.43284
4.92E+14	1.43339
5.14E+14	1.43398
5.37E+14	1.43462
5.61E+14	1.43531
5.86E+14	1.43607
6.13E+14	1.4369
6.40E+14	1.43781
6.69E+14	1.4388
6.99E+14	1.43988
7.30E+14	1.44107
7.63E+14	1.44238
7.97E+14	1.44382
8.33E+14	1.44541
8.70E+14	1.44715
9.09E+14	1.44908
9.50E+14	1.45122
9.92E+14	1.45358
1.04E+15	1.45621
1.08E+15	1.45912
1.13E+15	1.46235
1.18E+15	1.46598
1.24E+15	1.47004
1.29E+15	1.47458
1.35E+15	1.47972
1.41E+15	1.48548
1.47E+15	1.49209
1.54E+15	1.49953
1.61E+15	1.50811
1.68E+15	1.51795
1.75E+15	1.52925
1.83E+15	1.54268
1.91E+15	1.55833
2.00E+15	1.57696
	
