wl,#f,n,,wl,#f,k
"1,53846",195000195000195,"2,02942",,"1,53846",195000195000195,2E-05
"1,53941",194879856568426,"2,02941",,"1,53941",194879856568426,2E-05
"1,54036",194759666571451,"2,0294",,"1,54036",194759666571451,2E-05
"1,54131",194639624734804,"2,02939",,"1,54131",194639624734804,2E-05
"1,54226",194519730784693,"2,02938",,"1,54226",194519730784693,2E-05
"1,54321",194399984448001,"2,02937",,"1,54321",194399984448001,2E-05
"1,54416",194280385452285,"2,02936",,"1,54416",194280385452285,2E-05
"1,54512",194159676918298,"2,02935",,"1,54512",194159676918298,2E-05
"1,54607",194040373333678,"2,02934",,"1,54607",194040373333678,2E-05
"1,54703",193919962767367,"2,02933",,"1,54703",193919962767367,2E-05
"1,54799",193799701548460,"2,02932",,"1,54799",193799701548460,2E-05
"1,54895",193679589399270,"2,02931",,"1,54895",193679589399270,2E-05
"1,54991",193559626042802,"2,0293",,"1,54991",193559626042802,2E-05
"1,55087",193439811202744,"2,02929",,"1,55087",193439811202744,2E-05
"1,55183",193320144603468,"2,02928",,"1,55183",193320144603468,2E-05
"1,5528",193199381761978,"2,02927",,"1,5528",193199381761978,2E-05
"1,55376",193080012357121,"2,02926",,"1,55376",193080012357121,2E-05
"1,55473",192959549246493,"2,02925",,"1,55473",192959549246493,2E-05
"1,55569",192840475930295,"2,02924",,"1,55569",192840475930295,2E-05
"1,55666",192720311436023,"2,02923",,"1,55666",192720311436023,2E-05
"1,55763",192600296604457,"2,02922",,"1,55763",192600296604457,2E-05
"1,5586",192480431156166,"2,02921",,"1,5586",192480431156166,2E-05
"1,55958",192359481398838,"2,0292",,"1,55958",192359481398838,2E-05
"1,56055",192239915414437,"2,02919",,"1,56055",192239915414437,3E-05
"1,56152",192120497976331,"2,02918",,"1,56152",192120497976331,3E-05
"1,5625",192000000000000,"2,02917",,"1,5625",192000000000000,3E-05
"1,56348",191879653081587,"2,02916",,"1,56348",191879653081587,3E-05
"1,56446",191759456937218,"2,02915",,"1,56446",191759456937218,3E-05
"1,56544",191639411283729,"2,02914",,"1,56544",191639411283729,3E-05
"1,56642",191519515838664,"2,02913",,"1,56642",191519515838664,3E-05
"1,5674",191399770320276,"2,02912",,"1,5674",191399770320276,3E-05
"1,56838",191280174447519,"2,02911",,"1,56838",191280174447519,3E-05
"1,56937",191159509867017,"2,0291",,"1,56937",191159509867017,3E-05
"1,57035",191040213965040,"2,02909",,"1,57035",191040213965040,3E-05
"1,57134",190919851846195,"2,02908",,"1,57134",190919851846195,3E-05
"1,57233",190799641296674,"2,02907",,"1,57233",190799641296674,3E-05
"1,57332",190679582030356,"2,02906",,"1,57332",190679582030356,3E-05
"1,57431",190559673761839,"2,02905",,"1,57431",190559673761839,3E-05
"1,5753",190439916206437,"2,02904",,"1,5753",190439916206437,3E-05
"1,57629",190320309080182,"2,02903",,"1,57629",190320309080182,3E-05
"1,57729",190199646228658,"2,02902",,"1,57729",190199646228658,3E-05
"1,57828",190080340623970,"2,02901",,"1,57828",190080340623970,3E-05
"1,57928",189959981763842,"2,029",,"1,57928",189959981763842,3E-05
