wl,#f,n,,wl,#f,k
"0,21","1,42857142857143E+015","1,804",,"0,21","1,42857142857143E+015","-0,048"
"0,22","1,36363636363636E+015","1,79",,"0,22","1,36363636363636E+015","-0,035"
"0,23","1,30434782608696E+015","1,78",,"0,23","1,30434782608696E+015","-0,024"
"0,24","1,25E+015","1,768",,"0,24","1,25E+015","-0,017"
"0,25",1200000000000000,"1,763",,"0,25",1200000000000000,"-0,014"
"0,26","1,15384615384615E+015","1,755",,"0,26","1,15384615384615E+015","-0,008"
"0,27","1,11111111111111E+015","1,751",,"0,27","1,11111111111111E+015","-0,003"
"0,28","1,07142857142857E+015","1,748",,"0,28","1,07142857142857E+015",0
"0,29","1,03448275862069E+015","1,743",,"0,29","1,03448275862069E+015","0,002"
"0,3",1000000000000000,"1,738",,"0,3",1000000000000000,"0,008"
"0,31",967741935483871,"1,738",,"0,31",967741935483871,"0,01"
"0,32",937500000000000,"1,738",,"0,32",937500000000000,"0,012"
"0,33",909090909090909,"1,737",,"0,33",909090909090909,"0,013"
"0,34",882352941176471,"1,736",,"0,34",882352941176471,"0,014"
"0,35",857142857142857,"1,734",,"0,35",857142857142857,"0,015"
"0,36",833333333333333,"1,733",,"0,36",833333333333333,"0,017"
"0,37",810810810810811,"1,733",,"0,37",810810810810811,"0,018"
"0,38",789473684210526,"1,733",,"0,38",789473684210526,"0,018"
"0,39",769230769230769,"1,733",,"0,39",769230769230769,"0,018"
"0,4",750000000000000,"1,732",,"0,4",750000000000000,"0,018"
"0,41",731707317073171,"1,731",,"0,41",731707317073171,"0,019"
"0,42",714285714285714,"1,73",,"0,42",714285714285714,"0,019"
"0,43",697674418604651,"1,73",,"0,43",697674418604651,"0,02"
"0,44",681818181818182,"1,73",,"0,44",681818181818182,"0,02"
"0,45",666666666666667,"1,73",,"0,45",666666666666667,"0,02"
"0,46",652173913043478,"1,73",,"0,46",652173913043478,"0,02"
"0,47",638297872340426,"1,73",,"0,47",638297872340426,"0,02"
"0,48",625000000000000,"1,729",,"0,48",625000000000000,"0,02"
"0,49",612244897959184,"1,729",,"0,49",612244897959184,"0,021"
"0,5",600000000000000,"1,729",,"0,5",600000000000000,"0,02"
"0,51",588235294117647,"1,729",,"0,51",588235294117647,"0,021"
"0,52",576923076923077,"1,729",,"0,52",576923076923077,"0,02"
"0,53",566037735849057,"1,729",,"0,53",566037735849057,"0,02"
"0,54",555555555555556,"1,729",,"0,54",555555555555556,"0,02"
"0,55",545454545454545,"1,729",,"0,55",545454545454545,"0,02"
"0,56",535714285714286,"1,728",,"0,56",535714285714286,"0,02"
"0,57",526315789473684,"1,728",,"0,57",526315789473684,"0,02"
"0,58",517241379310345,"1,728",,"0,58",517241379310345,"0,02"
"0,59",508474576271186,"1,728",,"0,59",508474576271186,"0,02"
"0,6",500000000000000,"1,728",,"0,6",500000000000000,"0,02"
"0,61",491803278688525,"1,728",,"0,61",491803278688525,"0,02"
"0,62",483870967741936,"1,728",,"0,62",483870967741936,"0,02"
"0,63",476190476190476,"1,728",,"0,63",476190476190476,"0,02"
"0,64",468750000000000,"1,727",,"0,64",468750000000000,"0,019"
"0,65",461538461538462,"1,727",,"0,65",461538461538462,"0,02"
"0,66",454545454545455,"1,727",,"0,66",454545454545455,"0,02"
"0,67",447761194029851,"1,727",,"0,67",447761194029851,"0,02"
